,q0,qa,label,qa_encode,q0_encode
193181,是已经退款的吗,是已经退款了吗,1,140583,53887
193184,怎么让男人变大,怎么样才能让男人的鸟变大,1,200519,56745
193186,如何使手指变细,怎样使手指变细,1,94762,119547
193187,怎么样提高自己的文学水平,怎样提高自己的文学水平？,1,154174,11306
193188,怎样避孕最安全,怎么样避孕最安全,1,127660,79741
193189,微信转账什么时候到账,微信转账到账是什么时候,1,11787,142842
193190,张杰什么时候出新专辑啊,快乐男生张杰什么时候才出新歌啊,1,76524,91069
193191,心潮难己的意思,心潮难己的意思是什么？,1,230093,230277
193192,现在做淘宝店还有前景吗？,现在开始做淘宝还有前景吗？,1,2054,232412
193194,周星驰的老婆是谁,周星驰老婆是谁,1,34139,62200
193197,这件衣服怎么搭配啊,这件衣服怎么搭配？,1,108775,145728
193198,头发出油用什么洗发水,我的头发出油用什么牌的洗发水好,1,144296,128108
193199,如何下载手机游戏,手机游戏怎么下载？,1,104096,176030
193202,这是什么牌子包包,这是什么包包牌子？,1,159562,65350
193203,快递能寄液体吗,液体可以快递吗,1,187215,45461
193205,脸大，什么发型好看呢？,脸大的人搞什么发型好看,1,14451,4761
193208,怎么能找到一个人,怎么才能找到一个人,1,197157,154372
193209,你说的是淘宝吗,您是说淘宝的吗,1,215493,138471
193210,世界上最远距离是什么,世界上最远的距离到底是什么,1,159253,104755
193217,手机可以以旧换新吗？,手机有以旧换新吗？,1,64324,176889
193218,活在当下是什么意思,活在当下什么意思？！,1,217326,68007
193219,今年女生流行什么颜色的发型,现在女生流行什么颜色的头发,1,13874,97452
193220,那里有对联批发,对联批发在哪里,1,29285,59765
193223,天猫上怎么投诉卖家,天猫怎么投诉卖家,1,35270,119142
193224,有什么感人的电影？,有什么感人的好电影,1,56441,39490
193225,华为手机垃圾！,华为手机是垃圾…,1,57975,172322
193228,苹果手机通话中怎么录音,苹果手机在通话中如何录音？,1,189531,100051
193229,向日葵为什么对着太阳转,为什么向日葵总是向着太阳转,1,9744,12619
193230,有什么好听的电音吗？,有没有什么好听的电音,1,17476,66356
193233,为什么雷霆战机登不上了,为什么雷霆战机登不上？,1,24077,601
193235,拷贝是什么意思啊。,拷贝时什么意思,1,130484,48770
193236,这个女优的名字叫什么啊？,这个女优是谁名字？,1,145748,200515
193237,华晨宇是哪里人？,华晨宇是哪里的？,1,138126,77908
193238,玩游戏怎么赚钱,玩游戏怎么赚钱呀？,1,109144,220966
193239,都有哪些购物网站,购物那个网站好,1,199391,236114
193240,大家为什么喜欢周杰伦,为什么我们都喜欢周杰伦啊？,1,155292,118759
193241,大理石有辐射吗？,大理石有辐射吗？急。,1,11706,31115
193242,电脑声音的问题,电脑的声音问题,1,76567,5275
193245,双色球复式怎么玩,复式双色球怎么买,1,125673,136094
193247,小辣椒手机怎么样？好用吗？,小辣椒手机怎样,1,58092,215020
193248,关于易语言的问题,易语言问题，,1,15037,77677
193249,怎样在麻将上做记号,怎样在麻将做记号？谁会？,1,34648,128264
193250,空姐围巾怎么系,空姐如何围围巾,1,207052,65353
